"model.trt","root.trt","overlap.trt","model.rsp","alignment","te.hetero"
"linear",0.35,"one-term","linear",0.75,"high"
"polynomial",0.35,"one-term","exponential",0.75,"none"
"linear",0.35,"one-term","linear",0.75,"none"
"polynomial",0.35,"full","exponential",0.75,"high"
"linear",0.35,"one-term","exponential",0.75,"high"
"polynomial",0.35,"one-term","linear",0.75,"high"
"polynomial",0.35,"one-term","exponential",0.75,"high"
"polynomial",0.35,"one-term","exponential",0,"high"
"step",0.35,"one-term","step",0.75,"high"
"linear",0.35,"one-term","exponential",0.25,"high"
"polynomial",0.35,"one-term","linear",0.25,"high"
"polynomial",0.35,"one-term","exponential",0.25,"high"
"linear",0.65,"one-term","exponential",0.75,"high"
"polynomial",0.65,"one-term","linear",0.75,"high"
"polynomial",0.65,"one-term","exponential",0.75,"high"
"polynomial",0.65,"one-term","exponential",0,"high"
"step",0.65,"one-term","step",0.75,"high"
"linear",0.65,"one-term","exponential",0.25,"high"
"polynomial",0.65,"one-term","linear",0.25,"high"
"polynomial",0.65,"one-term","exponential",0.25,"high"
"polynomial",0.35,"one-term","step",0.25,"med"
"polynomial",0.35,"one-term","step",0.25,"high"
"polynomial",0.35,"one-term","step",0.75,"med"
"polynomial",0.35,"one-term","step",0.75,"high"
"polynomial",0.35,"one-term","exponential",0.25,"med"
"polynomial",0.35,"one-term","exponential",0.75,"med"
"polynomial",0.35,"full","step",0.25,"med"
"polynomial",0.35,"full","step",0.25,"high"
"polynomial",0.35,"full","step",0.75,"med"
"polynomial",0.35,"full","step",0.75,"high"
"polynomial",0.35,"full","exponential",0.25,"med"
"polynomial",0.35,"full","exponential",0.25,"high"
"polynomial",0.35,"full","exponential",0.75,"med"
"polynomial",0.65,"one-term","step",0.25,"med"
"polynomial",0.65,"one-term","step",0.25,"high"
"polynomial",0.65,"one-term","step",0.75,"med"
"polynomial",0.65,"one-term","step",0.75,"high"
"polynomial",0.65,"one-term","exponential",0.25,"med"
"polynomial",0.65,"one-term","exponential",0.75,"med"
"polynomial",0.65,"full","step",0.25,"med"
"polynomial",0.65,"full","step",0.25,"high"
"polynomial",0.65,"full","step",0.75,"med"
"polynomial",0.65,"full","step",0.75,"high"
"polynomial",0.65,"full","exponential",0.25,"med"
"polynomial",0.65,"full","exponential",0.25,"high"
"polynomial",0.65,"full","exponential",0.75,"med"
"polynomial",0.65,"full","exponential",0.75,"high"
"step",0.35,"one-term","step",0.25,"med"
"step",0.35,"one-term","step",0.25,"high"
"step",0.35,"one-term","step",0.75,"med"
"step",0.35,"one-term","exponential",0.25,"med"
"step",0.35,"one-term","exponential",0.25,"high"
"step",0.35,"one-term","exponential",0.75,"med"
"step",0.35,"one-term","exponential",0.75,"high"
"step",0.35,"full","step",0.25,"med"
"step",0.35,"full","step",0.25,"high"
"step",0.35,"full","step",0.75,"med"
"step",0.35,"full","step",0.75,"high"
"step",0.35,"full","exponential",0.25,"med"
"step",0.35,"full","exponential",0.25,"high"
"step",0.35,"full","exponential",0.75,"med"
"step",0.35,"full","exponential",0.75,"high"
"step",0.65,"one-term","step",0.25,"med"
"step",0.65,"one-term","step",0.25,"high"
"step",0.65,"one-term","step",0.75,"med"
"step",0.65,"one-term","exponential",0.25,"med"
"step",0.65,"one-term","exponential",0.25,"high"
"step",0.65,"one-term","exponential",0.75,"med"
"step",0.65,"one-term","exponential",0.75,"high"
"step",0.65,"full","step",0.25,"med"
"step",0.65,"full","step",0.25,"high"
"step",0.65,"full","step",0.75,"med"
"step",0.65,"full","step",0.75,"high"
"step",0.65,"full","exponential",0.25,"med"
"step",0.65,"full","exponential",0.25,"high"
"step",0.65,"full","exponential",0.75,"med"
"step",0.65,"full","exponential",0.75,"high"
