"errors","magnitude","noise","confounding"
"group_corr",0,0,0
"group_corr",0,0,1
"group_corr",0,1,0
"group_corr",0,1,1
"group_corr",1,0,0
"group_corr",1,0,1
"group_corr",1,1,0
"group_corr",1,1,1
"heteroskedastic",0,0,0
"heteroskedastic",0,0,1
"heteroskedastic",0,1,0
"heteroskedastic",0,1,1
"heteroskedastic",1,0,0
"heteroskedastic",1,0,1
"heteroskedastic",1,1,0
"heteroskedastic",1,1,1
"iid",0,0,0
"iid",0,0,1
"iid",0,1,0
"iid",0,1,1
"iid",1,0,0
"iid",1,0,1
"iid",1,1,0
"iid",1,1,1
"nonadditive",0,0,0
"nonadditive",0,0,1
"nonadditive",0,1,0
"nonadditive",0,1,1
"nonadditive",1,0,0
"nonadditive",1,0,1
"nonadditive",1,1,0
"nonadditive",1,1,1
