ipw,ipw-hajek,linear,kernel,automatic,balancing_quadratic,balancing_entropy,balancing_balnet,overlap_design,pscore_design,outcome_design
0.153292,0.068824,0.074318,0.037926,0.066998,0.068367,0.068659,0.070755,poor,linear,linear
0.113595,0.065831,0.06929,0.034673,0.064945,0.067432,0.059717,0.062766,poor,linear,quad
94.766442,43.701907,10.427761,21.757038,16.573936,28.697446,42.288117,11.87957,poor,linear,nl
0.10095,0.057839,0.054487,0.03657,0.057186,0.058648,0.057899,0.055639,poor,quad,linear
0.08955,0.036588,0.037204,0.023635,0.035415,0.036946,0.036894,0.04002,poor,quad,quad
2865.848422,16.091281,158.740416,39.439362,81.325819,30.688676,28.123326,46.739489,poor,quad,nl
0.026728,0.023543,0.01492,0.010885,0.023664,0.027663,0.024977,0.021899,poor,trig,linear
0.022823,0.025141,0.009905,0.011628,0.022979,0.022851,0.02243,0.021617,poor,trig,quad
13.056403,81.841127,15.755324,7.46133,17.90174,24.180033,54.710866,116.296335,poor,trig,nl
0.05008,0.033203,0.0259,0.014977,0.029705,0.036861,0.030424,0.034205,good,linear,linear
0.039018,0.031428,0.025851,0.014724,0.030468,0.029236,0.029991,0.034347,good,linear,quad
27.509926,33.72182,29.242312,11.30648,20.530293,12.62078,14.606465,322.613164,good,linear,nl
0.042818,0.036984,0.02692,0.020387,0.030553,0.029402,0.033552,0.033669,good,quad,linear
0.038836,0.02594,0.016052,0.013607,0.02781,0.026847,0.025209,0.024843,good,quad,quad
8.316101,11.947595,11.161146,8.81458,34.981261,43.505961,20.817136,16.567214,good,quad,nl
0.022575,0.024333,0.014467,0.011829,0.022034,0.024739,0.025926,0.022615,good,trig,linear
0.02029,0.022684,0.011616,0.012015,0.022561,0.020366,0.024975,0.023961,good,trig,quad
38.523511,22.268301,6.114522,19.82607,26.757338,10.39698,23.35064,21.77507,good,trig,nl
0.07641,0.051376,0.046328,0.027999,0.048964,0.047639,0.045092,0.049398,medium,linear,linear
0.049166,0.055263,0.054901,0.027468,0.051266,0.05427,0.051995,0.051466,medium,linear,quad
21.468841,70.924412,42.339372,14.050615,17.890046,248.685374,34.048132,12.468229,medium,linear,nl
0.078766,0.050552,0.049874,0.033566,0.052296,0.050292,0.050989,0.051634,medium,quad,linear
0.064827,0.040824,0.03708,0.020329,0.038691,0.035453,0.03032,0.037447,medium,quad,quad
17.018452,18.167788,11.815214,12.804417,217.37279,140.52903,26.000535,15.746807,medium,quad,nl
0.023486,0.024438,0.012973,0.013672,0.022272,0.023801,0.023669,0.025266,medium,trig,linear
0.024673,0.02281,0.013397,0.011382,0.021992,0.022879,0.019997,0.019867,medium,trig,quad
464.738318,32.53584,5.914392,7.92304,8.870705,105.436807,19.896186,30.045333,medium,trig,nl
